Metal Knuckles,1
Baseball Bat,1
Painting,1
Racket,1
Shank,1
Glass Bottle,1
Rock,1
Pepper Spray,2
Flatulation,2
Pitch Fork,2
Sword Cane,2
2x4,2
Fire Extinguisher,2
Nail Gun,2
Pistol Cane,3
Slingshot,3
Hammer,3
Axe,3
Jukebox,3
Jackhammer,3
Small Revolver,4
Double Barrel Shotgun,4
.22 Rifle,4
Throwing Knife,4
Axe Body Spray,4
Molotov,4
Words,5
TI-69X Pro Graphing Calculator,5
TI-420Z Pro Scientific Calculator,5
Cult M1911B1,5
Shirt Cannon,5
Attack Dogo,5
Big Revolver,6
Machette,6
Compact Bow,6
Matryoshka Dolls,6
QED,6
Arachnophobia,6
Very Hot Flower That Is On Fire,7
Very Cold Flower That Is On Fire,7
Scythe,7
Magical Staff,7
Even More Words,7
Very Large Revolver,7
RPG,7
Vorpal Ballad,8
Queen's Gambit,8
5 Blunderbusses Duct Taped Together,8
Diamond Sword,8
Mace,8
Science,8
Pancakes,8
Waffles,9
Balista Nuclear Identifier Missile Launcher,9
Bag Of Beans,9
Fire,9
Shiny Magical Cube,9
.50 Sniper Rifle,9
Bow Of Lightning,9
Lightsaber,10
Proton Pack,10
Fireball,10
200 IQ,10
Diamond Axe,10
Baguette,10
Batarang.10
Tsar Bomba,11
Very Large Chainsaw,11
Proton Torpedoes,11
Airstrike,11
Railgun,11
1000 IQ,11
Axial Superlaser,12
Plasma Lance,12
One Punch,12
M.A.D,12
Reverse Card,12
Fragrance #19: COVID,12
Holy Bible,13
